patch,patch_number,champion,patch_matches,picks,wins,bans,win_rate,smoothed_win_rate,pick_rate,ban_rate,presence_rate,op_score,op_rank,is_high_pro_presence_reference
26.10,2610,Cassiopeia,804,138,81,208,0.5869565217391305,0.583916083916084,0.17164179104477612,0.25870646766169153,0.43034825870646765,0.3515934314441777,7,True
26.10,2610,Bard,804,159,90,189,0.5660377358490566,0.5640243902439024,0.19776119402985073,0.23507462686567165,0.43283582089552236,0.3413997087732071,8,True
26.10,2610,Ezreal,804,210,100,154,0.47619047619047616,0.47674418604651164,0.26119402985074625,0.19154228855721392,0.4527363184079602,0.3169154228855721,9,True
26.10,2610,Rumble,804,161,76,185,0.4720496894409938,0.47289156626506024,0.20024875621890548,0.2300995024875622,0.43034825870646765,0.3012437810945273,10,True
26.10,2610,Ashe,804,176,102,112,0.5795454545454546,0.5773480662983426,0.21890547263681592,0.13930348258706468,0.3582089552238806,0.29715510843572196,11,False
26.10,2610,Vayne,804,48,35,149,0.7291666666666666,0.7075471698113207,0.05970149253731343,0.1853233830845771,0.24502487562189054,0.29604571482211584,12,False
26.10,2610,Seraphine,804,176,99,121,0.5625,0.5607734806629834,0.21890547263681592,0.15049751243781095,0.3694029850746269,0.29504617795002885,13,False
26.10,2610,Lucian,804,144,73,188,0.5069444444444444,0.5067114093959731,0.1791044776119403,0.23383084577114427,0.4129353233830846,0.2930815720057431,14,False
26.10,2610,Xin Zhao,804,196,86,140,0.4387755102040816,0.44029850746268656,0.24378109452736318,0.17412935323383086,0.417910447761194,0.2925373134328358,15,False
26.10,2610,Ryze,804,174,91,119,0.5229885057471264,0.5223463687150838,0.21641791044776118,0.1480099502487562,0.3644278606965174,0.2685073237166124,16,False
26.10,2610,Anivia,804,104,62,135,0.5961538461538461,0.591743119266055,0.12935323383084577,0.16791044776119404,0.2972636815920398,0.2631304486740609,17,False
26.10,2610,Sion,804,175,86,127,0.49142857142857144,0.49166666666666664,0.21766169154228857,0.15796019900497513,0.3756218905472637,0.26293532338308456,18,False
26.10,2610,Caitlyn,804,142,74,141,0.5211267605633803,0.5204081632653061,0.17661691542288557,0.17537313432835822,0.35199004975124376,0.2586379327850543,19,False
26.10,2610,Vi,804,136,66,153,0.4852941176470588,0.4858156028368794,0.1691542288557214,0.19029850746268656,0.35945273631840796,0.25161691542288556,20,False
26.10,2610,Pantheon,804,134,58,152,0.43283582089552236,0.4352517985611511,0.16666666666666666,0.1890547263681592,0.35572139303482586,0.24900497512437808,21,False
26.10,2610,Akali,804,89,42,191,0.47191011235955055,0.4734042553191489,0.11069651741293532,0.23756218905472637,0.3482587064676617,0.24378109452736318,22,False
26.10,2610,Gnar,804,129,71,110,0.5503875968992248,0.5485074626865671,0.16044776119402984,0.13681592039800994,0.2972636815920398,0.23718905472636814,23,False
26.10,2610,Lee Sin,804,123,72,91,0.5853658536585366,0.58203125,0.15298507462686567,0.11318407960199005,0.26616915422885573,0.235537157960199,24,False
26.10,2610,Wukong,804,162,73,96,0.4506172839506173,0.45209580838323354,0.20149253731343283,0.11940298507462686,0.3208955223880597,0.22462686567164175,25,False
26.10,2610,Aurora,804,122,59,122,0.48360655737704916,0.484251968503937,0.1517412935323383,0.1517412935323383,0.3034825870646766,0.21243781094527361,26,False
26.10,2610,Naafiri,804,101,49,132,0.48514851485148514,0.4858490566037736,0.1256218905472637,0.16417910447761194,0.2898009950248756,0.20286069651741293,27,False
26.10,2610,Jayce,804,121,54,110,0.4462809917355372,0.44841269841269843,0.15049751243781095,0.13681592039800994,0.2873134328358209,0.2011194029850746,28,False
26.10,2610,Ambessa,804,123,54,101,0.43902439024390244,0.44140625,0.15298507462686567,0.1256218905472637,0.27860696517412936,0.19502487562189055,29,False
26.10,2610,Annie,804,107,56,98,0.5233644859813084,0.5223214285714286,0.13308457711442787,0.12189054726368159,0.25497512437810943,0.19187544420753375,30,False
26.10,2610,K'Sante,804,138,69,80,0.5,0.5,0.17164179104477612,0.09950248756218906,0.27114427860696516,0.1898009950248756,31,False
26.10,2610,Viktor,804,125,66,69,0.528,0.5269230769230769,0.15547263681592038,0.08582089552238806,0.24129353233830847,0.18505931879066206,32,False
26.10,2610,Lulu,804,130,61,70,0.46923076923076923,0.4703703703703704,0.16169154228855723,0.08706467661691543,0.24875621890547264,0.17412935323383083,33,False
26.10,2610,Irelia,804,15,12,27,0.8,0.725,0.018656716417910446,0.033582089552238806,0.05223880597014925,0.17156716417910445,34,False
26.10,2610,Rakan,804,66,44,23,0.6666666666666666,0.6549295774647887,0.08208955223880597,0.028606965174129355,0.11069651741293532,0.17044530866792795,35,False
26.10,2610,Ahri,804,116,58,77,0.5,0.5,0.14427860696517414,0.09577114427860696,0.24004975124378108,0.16803482587064675,36,False
26.10,2610,Nasus,804,14,11,25,0.7857142857142857,0.7105263157894737,0.017412935323383085,0.03109452736318408,0.048507462686567165,0.1602710133542812,37,False
26.10,2610,Neeko,804,109,53,73,0.48623853211009177,0.4868421052631579,0.13557213930348258,0.09079601990049752,0.2263681592039801,0.15845771144278606,38,False
26.10,2610,Renekton,804,119,55,53,0.46218487394957986,0.4637096774193548,0.1480099502487562,0.06592039800995025,0.21393034825870647,0.14975124378109453,39,False
26.10,2610,Lillia,804,4,4,5,1.0,0.7222222222222222,0.004975124378109453,0.006218905472636816,0.011194029850746268,0.14116915422885573,40,False
26.10,2610,Milio,804,146,72,16,0.4931506849315068,0.49337748344370863,0.18159203980099503,0.01990049751243781,0.20149253731343283,0.14104477611940297,41,False
26.10,2610,Skarner,804,97,49,59,0.5051546391752577,0.5049019607843137,0.12064676616915423,0.07338308457711443,0.19402985074626866,0.13876207199297627,42,False
26.10,2610,Jhin,804,119,52,38,0.4369747899159664,0.43951612903225806,0.1480099502487562,0.0472636815920398,0.19527363184079602,0.1366915422885572,43,False
26.10,2610,Poppy,804,24,16,36,0.6666666666666666,0.6379310344827587,0.029850746268656716,0.04477611940298507,0.07462686567164178,0.13499742665980444,44,False
26.10,2610,Yunara,804,120,56,33,0.4666666666666667,0.468,0.14925373134328357,0.041044776119402986,0.19029850746268656,0.13320895522388057,45,False
26.10,2610,Amumu,804,13,10,5,0.7692307692307693,0.6944444444444444,0.01616915422885572,0.006218905472636816,0.022388059701492536,0.1323383084577114,46,False
26.10,2610,LeBlanc,804,32,18,75,0.5625,0.5540540540540541,0.03980099502487562,0.09328358208955224,0.13308457711442787,0.12559163641253193,47,False
26.10,2610,Sivir,804,69,37,46,0.5362318840579711,0.5337837837837838,0.08582089552238806,0.05721393034825871,0.14303482587064675,0.12039464837972298,48,False
26.10,2610,Nami,804,103,51,33,0.49514563106796117,0.49537037037037035,0.1281094527363184,0.041044776119402986,0.1691542288557214,0.11840796019900497,49,False
26.10,2610,Gwen,804,42,22,79,0.5238095238095238,0.5212765957446809,0.05223880597014925,0.09825870646766169,0.15049751243781095,0.11811421615327619,50,False
26.10,2610,Vex,804,3,3,2,1.0,0.6875,0.0037313432835820895,0.0024875621890547263,0.006218905472636816,0.11685323383084575,51,False
26.10,2610,Zaahen,804,61,35,25,0.5737704918032787,0.5681818181818182,0.07587064676616916,0.03109452736318408,0.10696517412935323,0.1157847127996382,52,False
